Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol h?e	vol.depol 532	error vol.depol 	partdepolh?e	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.41293	2.289492	0.343424	1.441763	0.216264	0.732649	0.109897	-2741.863934	575.137326	-3035.444957	636.038966	-1197.585938	-308.828277	-2105.370536	-542.540072	-0.251455	0.748545	1.143224	0.599503	0.97664	0.298893	0.41293	0.018975	0.001898	0.41293	0.032593	0.003259	151.429199	296.004761	98512.61719	0.41293	0.009074	0.000907	0.41293	0.017693	0.001769	0	0	0.41293	1.390326	0.000209	-41.711145	0.05777	-30.000988	-41.794656	0	0	0	0	0	0	0	0	0	0	0	0.382802	0	0	0.41293	2.258304	NaN	12.990976	0.027924	5.752536	0	0.007812	0.001466	0.000089
0.420402	2.281434	0.342215	1.436503	0.215475	0.727296	0.109094	-2555.991768	522.252818	-2825.101395	572.638224	-1120.344241	-283.977263	-1966.651934	-495.915685	-0.24746	0.75254	1.143543	0.599671	0.981946	0.300517	0.420402	0.019041	0.001904	0.420402	0.032758	0.003276	158.900665	295.921814	98418.50781	0.420402	0.009112	0.000911	0.420402	0.017879	0.001788	0	0	0.420402	1.381771	0.000207	-36.818095	0.056304	-26.645582	-40.943395	0	0	0	0	0	0	0	0	0	0	0	0.378313	0	0	0.420402	2.247776	NaN	16.927003	0.026625	7.530556	0	0.007806	0.001465	0.000089
0.427873	2.275323	0.341298	1.431657	0.214748	0.722251	0.108338	-2384.485447	475.156024	-2634.64803	518.077194	-1047.976707	-261.382424	-1840.279321	-455.138284	-0.246625	0.753375	1.145267	0.600574	0.987113	0.302098	0.427873	0.019086	0.001909	0.427873	0.032883	0.003288	166.372131	295.838867	98324.40625	0.427873	0.009148	0.000915	0.427873	0.018054	0.001805	0	0	0.427873	1.381775	0.000207	-23.695451	0.058576	-17.148563	-42.470187	0	0	0	0	0	0	0	0	0	0	0	0.374184	0	0	0.427873	2.24275	NaN	25.316876	0.026975	11.28832	0	0.007801	0.001464	0.000089
0.435345	2.268813	0.340322	1.427042	0.214056	0.717729	0.107659	-2226.149294	433.623124	-2462.316226	472.975896	-981.195625	-241.225816	-1725.4685	-420.522343	-0.249253	0.750747	1.146164	0.601045	0.991516	0.303445	0.435345	0.01912	0.001912	0.435345	0.032987	0.003299	173.843582	295.755951	98230.30469	0.435345	0.009186	0.000919	0.435345	0.018242	0.001824	0	0	0.435345	1.374631	0.000206	-26.634773	0.058195	-19.375938	-42.434288	0	0	0	0	0	0	0	0	0	0	0	0.370361	0	0	0.435345	2.224201	NaN	26.721538	0.026152	12.013996	0	0.007796	0.001463	0.000089
0.442816	2.26327	0.33949	1.422469	0.21337	0.712719	0.106908	-2079.95917	396.834921	-2302.486893	431.900588	-919.006255	-223.037979	-1618.654909	-388.767996	-0.251261	0.748739	1.148051	0.602035	0.996993	0.305121	0.442816	0.019151	0.001915	0.442816	0.033084	0.003308	181.315048	295.673004	98136.20313	0.442816	0.009219	0.000922	0.442816	0.018405	0.00184	0	0	0.442816	1.371058	0.000206	-21.406339	0.057696	-15.613011	-42.146603	0	0	0	0	0	0	0	0	0	0	0	0.365978	0	0	0.442816	2.214903	NaN	32.58699	0.02599	14.7126	0	0.00779	0.001462	0.000088
0.450288	2.254876	0.338231	1.418217	0.212733	0.707917	0.106188	-1944.861704	363.993975	-2153.981968	395.840417	-862.51381	-206.873259	-1518.795647	-360.284292	-0.252462	0.747538	1.146267	0.601099	1.002426	0.306784	0.450288	0.019178	0.001918	0.450288	0.033176	0.003318	188.786499	295.590088	98042.09375	0.450288	0.009254	0.000925	0.450288	0.018584	0.001858	0	0	0.450288	1.363623	0.000205	-15.772174	0.056807	-11.566375	-41.695222	0	0	0	0	0	0	0	0	0	0	0	0.361492	0	0	0.450288	2.209135	NaN	36.014337	0.025256	16.30246	0	0.007785	0.001461	0.000088
0.457759	2.248132	0.33722	1.413601	0.21204	0.703459	0.105519	-1818.052787	334.327204	-2016.434747	363.798887	-808.694826	-191.912398	-1426.452619	-334.685591	-0.256016	0.743984	1.146922	0.601442	1.006837	0.308134	0.457759	0.019204	0.00192	0.457759	0.033268	0.003327	196.257965	295.507141	97947.99219	0.457759	0.009286	0.000929	0.457759	0.018748	0.001875	0	0	0.457759	1.362103	0.000204	-13.11718	0.056168	-9.630094	-41.261337	0	0	0	0	0	0	0	0	0	0	0	0.356797	0	0	0.457759	2.199787	NaN	43.159974	0.025228	19.620073	0	0.00778	0.00146	0.000088
0.465231	2.242674	0.336401	1.408789	0.211318	0.698935	0.10484	-1701.695679	308.14992	-1888.246737	334.890956	-758.77982	-178.420468	-1340.33343	-311.335468	-0.257149	0.742851	1.149342	0.602712	1.011225	0.309477	0.465231	0.019239	0.001924	0.465231	0.033377	0.003338	203.729431	295.424194	97853.89063	0.465231	0.009312	0.000931	0.465231	0.018886	0.001889	0	0	0.465231	1.355028	0.000203	-10.851256	0.055039	-8.008139	-40.63608	0	0	0	0	0	0	0	0	0	0	0	0.352568	0	0	0.465231	2.198269	NaN	44.725187	0.024633	20.345638	0	0.007775	0.001459	0.000088
0.472702	2.235941	0.335391	1.403696	0.210554	0.69447	0.104171	-1593.106035	284.437479	-1769.211378	308.527777	-712.499108	-166.147553	-1260.395014	-289.920683	-0.259188	0.740812	1.150863	0.603509	1.015245	0.310708	0.472702	0.019271	0.001927	0.472702	0.033484	0.003348	211.200882	295.341278	97759.78125	0.472702	0.00934	0.000934	0.472702	0.019036	0.001904	0	0	0.472702	1.348994	0.000202	-8.185013	0.054112	-6.067495	-40.12324	0	0	0	0	0	0	0	0	0	0	0	0.347086	0	0	0.472702	2.188477	NaN	47.949671	0.023954	21.910063	0	0.007769	0.001458	0.000088
0.480173	2.228343	0.334251	1.399398	0.20991	0.690215	0.103532	-1491.812141	263.182779	-1657.838079	285.045816	-669.471462	-155.02764	-1184.679569	-270.311506	-0.260856	0.739144	1.150029	0.603072	1.019689	0.312067	0.480173	0.0193	0.00193	0.480173	0.033585	0.003358	218.672348	295.258331	97665.67969	0.480173	0.009366	0.000937	0.480173	0.019175	0.001917	0	0	0.480173	1.343303	0.000201	-5.882644	0.053001	-4.379239	-39.461084	0	0	0	0	0	0	0	0	0	0	0	0.341486	0	0	0.480173	2.173494	NaN	45.263561	0.024124	20.825255	0	0.007764	0.001457	0.000088
